wlbName,wlbDocumentType,wlbDocumentName,wlbDocumentUrl,wlbDocumentFormat,wlbDocumentSize,wlbNpdidWellbore,wlbDocumentDateUpdated,datesyncNPD
7/11-1,GEOCHEMICAL INFORMATION,149_GCH_1,https://factpages.sodir.no/pbl/geochemical_pdfs/149_GCH_1.pdf,pdf,818,149,02.01.2024,22.03.2026
7/11-1,GEOCHEMICAL INFORMATION,149_GCH_2,https://factpages.sodir.no/pbl/geochemical_pdfs/149_GCH_2.pdf,pdf,1388,149,02.01.2024,22.03.2026
7/11-1,NPD PAPER,149_01_NPD_Paper_No.10_Lithology__Well_7_11_1,https://factpages.sodir.no/pbl/NPD_papers/149_01_NPD_Paper_No.10_Lithology__Well_7_11_1.pdf,pdf,24448,149,02.01.2024,22.03.2026
7/11-1,NPD PAPER,149_02_NPD_Paper_No.10_Interpreted_Lithology_log__Well_7_11_1,https://factpages.sodir.no/pbl/NPD_papers/149_02_NPD_Paper_No.10_Interpreted_Lithology_log__Well_7_11_1.pdf,pdf,68798,149,02.01.2024,22.03.2026
7/11-1,NPD PAPER,149_03_NPD_Paper_No.10_Lithologic_Correlation_chart__Well_7_11_1,https://factpages.sodir.no/pbl/NPD_papers/149_03_NPD_Paper_No.10_Lithologic_Correlation_chart__Well_7_11_1.pdf,pdf,32571,149,02.01.2024,22.03.2026
7/11-1,NPD PAPER,149_04_NPD_Paper_No.10_Paleocene_Correlation_map__Well_7_11_1,https://factpages.sodir.no/pbl/NPD_papers/149_04_NPD_Paper_No.10_Paleocene_Correlation_map__Well_7_11_1.pdf,pdf,12361,149,02.01.2024,22.03.2026
7/11-1,OLD NPD WDSS,149_01_WDSS_General_Information,https://factpages.sodir.no/pbl/wdss_old/149_01_WDSS_General_Information.pdf,pdf,208,149,02.01.2024,22.03.2026
7/11-1,REPORTED BY LICENSEE,149_7_11_1_CLASTIC_SEDIMENTS,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_CLASTIC_SEDIMENTS.PDF,PDF,1676,149,02.01.2024,22.03.2026
7/11-1,REPORTED BY LICENSEE,149_7_11_1_COD,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_COD.PDF,PDF,6306,149,02.01.2024,22.03.2026
7/11-1,REPORTED BY LICENSEE,149_7_11_1_COMPLEX_LITHOLOGY_ANALYSIS,https://factpages.sodir.no/pbl/wellbore_documents/149_7_11_1_COMPLEX_LITHOLOGY_ANALYSIS.PDF,PDF,8711,149,02.01.2024,22.03.2026
